INFO:arc_agi.scorecard:Initialized ScorecardManager with idle_for=0:15:00 and max_open_for=3 days, 0:00:00
2026-05-31 22:51:37 | INFO | Created new scorecard: a631c08c-8585-4b40-a20e-09de539f0f58
2026-05-31 22:51:37 | INFO | Successfully loaded game class Ls20 from /Users/chrishe/Desktop/同步空间/Chris/Chris/Obsidian Vault/UCSD/Course Notes/CSE 190 Deep RL/Group Project/Code Repo/environment_files/ls20/9607627b/ls20.py

=== mode=zero c_entropy=0.01 seed=0 leak=0.01 episodic=False sigma=0.1 ===
 upd  entropy      kl    V_int  Ret_int adv_grdy  nov_raw rew_mean frozen
   1    1.386 -0.0004   -0.024   -0.021   0.0036    0.175        0  False
   2    1.386 -0.0000   -0.089   -0.076   0.0127  0.00207        0  False
   3    1.386  0.0001   -0.065   -0.056   0.0097  0.00314        0  False
   4    1.386  0.0011   -0.058   -0.049   0.0083   0.0022        0  False
   6    1.351  0.0054   -0.022   -0.019   0.0027  0.00244        0  False
   8    1.297  0.0064   -0.023   -0.020   0.0032  0.00225        0  False
  10    1.217  0.0084   -0.011   -0.010   0.0014  0.00781        0  False
  12    1.221  0.0099   -0.018   -0.016   0.0026   0.0134        0  False
  14    1.156  0.0046   -0.008   -0.007   0.0011  0.00361        0  False
  16    1.096  0.0056   -0.018   -0.016   0.0025  0.00628        0  False
  18    1.014  0.0038   -0.018   -0.015   0.0026  0.00574        0  False
  20    1.020  0.0005   -0.001   -0.001   0.0001  0.00726        0  False
  22    0.932  0.0139   -0.023   -0.019   0.0035   0.0143        0  False
  24    0.954  0.0039   -0.029   -0.025   0.0041   0.0342        0  False
  26    0.919  0.0017   -0.023   -0.020   0.0032   0.0497        0  False
  28    0.945  0.0003   -0.009   -0.008   0.0014   0.0486        0  False
  30    1.079  0.0022   -0.008   -0.007   0.0011   0.0415        0  False
  32    1.050  0.0087   -0.017   -0.014   0.0023   0.0554        0  False
  34    1.070  0.0004    0.027    0.024  -0.0036   0.0376        0  False
  36    1.072  0.0006    0.029    0.025  -0.0041   0.0577        0  False
  38    1.027  0.0019    0.021    0.018  -0.0029   0.0753        0  False
  40    1.137  0.0008    0.014    0.013  -0.0018   0.0841        0  False
  42    1.115  0.0051    0.016    0.014  -0.0020    0.066        0  False
  44    1.123  0.0037   -0.005   -0.004   0.0012   0.0886        0  False
  46    1.027  0.0044   -0.015   -0.012   0.0029    0.125        0  False
  48    1.115  0.0059   -0.033   -0.028   0.0057   0.0724        0  False
  50    1.049  0.0039   -0.025   -0.022   0.0033   0.0481        0  False
  52    1.047  0.0034   -0.029   -0.025   0.0042   0.0676        0  False
  54    1.142  0.0019   -0.030   -0.025   0.0043    0.056        0  False
  56    1.164  0.0041   -0.039   -0.034   0.0051   0.0459        0  False
  58    1.154  0.0065   -0.026   -0.022   0.0032   0.0362        0  False
  60    1.158  0.0042   -0.033   -0.027   0.0049   0.0419        0  False
  --> ent first=1.386 min=0.899 last=1.158 lastQ_mean=1.110
  wrote JEPA/experiments/exp_013_sparse_exploration/probes/results/h1_zero_ce01_s0.json
